abaco
abbondanza
abbondanzia
abbondanzio
abbondazio
abbondia
abbondina
abbondio
abdenago
abdon
abdone
abela
abelarda
abelardo
abele
abelina
abelino
aberardo
abilio
abondio
abrama
abramina
abramino
abramo
accorso
accursa
accursia
accursio
accurso
acheropita
achilla
achille
achillea
achilleo
achillina
achiropita
acilia
acilio
acquisto
acrisio
ada
adalberta
adalberto
adalciso
adalgerio
adalgisa
adalgisio
adalgiso
adalia
adalinda
adalindo
adalio
adalisa
adama
adamaria
adamello
adamina
adamino
adamo
adastro
addamiano
addario
addiego
addolorata
addolorato
addonizio
adea
adela
adelaida
adelaide
adelaido
adelasia
adelasio
adelca
adelchi
adelchio
adelcisa
adelco
adele
adelelma
adelelmo
adelfa
adelfina
adelfino
adelfio
adelfo
adelia
adelina
adelinda
adelindo
adelino
adelio
adelisa
adelisia
adelisio
adelita
adelma
adelmaro
adelmina
adelmino
adelmira
adelmiro
adelmo
adelo
adema
ademara
ademaro
ademia
ademina
ademio
ademo
aden
adeo
adeodata
adeodato
aderita
aderito
adermo
adia
adige
adigina
adigrat
adilia
adilio
adimaro
adimiro
adina
adino
adinolfa
adinolfo
adio
adionilla
adiuto
adiutore
admeto
ado
adolfa
adolfina
adolfino
adolfo
adona
adone
adonella
adonello
adoranda
adorando
adorata
adorato
adorna
adornino
adorno
adrasta
adrasto
adreano
adria
adriana
adriano
adrio
adua
aduana
aduilio
aduino
aduo
affortunata
affortunato
afra
africa
africana
africano
africo
afro
afrodisio
afrodite
agabio
agabito
agamennone
agape
agapio
agapito
agata
agatella
agatina
agatino
agato
agatocle
agatoclia
agatone
agazia
agazio
agea
agenore
ageo
agesilao
aggeo
agide
agilulfo
aglaia
agnella
agnello
agnese
agnesina
agnesio
agostina
agostino
agricola
agricolo
agrippina
agrippino
agrisio
aguinaldo
aiace
aica
aicardo
aida
aide
aido
aimo
aimone
airaldo
aiuto
ala
aladina
aladino
alaghiera
alaghiero
alamanno
alamiro
alan
alarico
alba
albana
albania
albanino
albano
albarosa
alberica
alberice
alberico
alberigo
alberino
alberta
albertina
albertino
alberto
albina
albino
albio
albionte
albizio
albizzo
albo
alboina
alboino
alcea
alceo
alcesta
alceste
alcestina
alcesto
alcibiade
alcida
alcide
alcidio
alcido
alcina
alcino
alcisa
alciso
alcmena
alda
aldeandra
aldebrando
aldegarda
aldegardo
aldegonda
aldegondo
aldemara
aldemaro
aldemia
aldemina
aldemio
aldemira
aldemiro
aldemo
alderano
alderica
alderice
alderico
alderigi
alderigo
alderina
alderino
alderio
aldero
aldesina
aldesino
aldesira
aldezza
aldighiero
aldimaro
aldimiro
aldina
aldino
aldisio
aldiviero
aldo
aldobranda
aldobrandino
aldobrando
aldoino
aldomiro
aldorino
aldovina
aldovino
alduccio
alduina
alduino
alealdo
aleandra
aleandro
alearco
alearda
aleardo
alemanno
alemaro
aleramo
alerano
alerino
alesia
alesio
alessandra
alessandria
alessandrina
alessandrino
alessandro
alessi
alessia
alessina
alessio
aletta
alfa
alfano
alfea
alfeo
alferia
alferino
alferio
alfero
alfia
alfiera
alfiere
alfieri
alfierina
alfierino
alfiero
alfina
alfino
alfio
alfo
alfonsa
alfonsina
alfonsino
alfonso
alfonza
alfonzina
alfonzo
alfreda
alfredina
alfredino
alfredo
alfrida
alfride
algemiro
algeo
algeri
algeria
algerina
algerino
algero
alghero
alghisio
algia
algimiro
algisa
algisio
algiso
aliberto
alibrando
alice
alicia
alicio
alida
alide
alidea
alideo
alido
alidora
alidoro
alighiera
alighieri
alighiero
aligi
aligio
alimo
alina
alinda
alindo
alino
alipia
alipio
aliprando
alisa
alisia
alisio
aliso
aliviero
allegra
allegrina
allegrino
allegro
alma
almarosa
almeria
almerica
almerico
almerigo
almerina
almerinda
almerindo
almerino
almerio
almeris
almiero
almina
almino
almira
almirante
almiro
almo
alodia
aloisa
aloise
aloisio
alonzo
alpa
alpidio
alpiniano
alpino
alpinolo
alpo
altabella
altavilla
altavillo
altea
altemio
alteo
altera
alteria
alterino
alterio
altero
altieri
altiero
altimiro
altobello
altobrando
altomare
altomira
altomiro
altorino
alvara
alvarina
alvarino
alvario
alvaro
alvezio
alvisa
alvise
alvisia
alvisio
alviso
amabile
amabilia
amabilio
amaddio
amadea
amadeo
amadia
amadio
amalfa
amalfia
amalfio
amalfo
amalia
amalio
amanda
amandina
amandino
amando
amante
amantina
amantino
amanto
amanzia
amanzio
amarando
amaranta
amaranto
amarilda
amarilli
amarillide
amario
amata
amatino
amato
amatore
amatrice
amatuccio
amberta
amberto
ambra
ambretta
ambro
ambrogia
ambrogina
ambrogino
ambrogio
ambrosia
ambrosina
ambrosino
ambrosio
amedea
amedeo
ameglia
ameglio
amelia
amelina
amelino
amelio
amelita
america
americo
ameriga
amerigo
amerina
amerinda
amerindo
amerino
amerio
amero
amica
amico
amilcara
amilcare
amina
aminda
amino
aminta
aminto
amintore
amleta
amleto
amodeo
amodia
amodio
amonasro
amonastro
amore
amorina
amorino
amorosa
amoroso
amos
ampeglio
ampelia
ampelio
ampellio
amperio
ampilio
amsicora
amulia
amulio
anacleta
anacleto
anania
ananio
anastasia
anastasio
anatolia
anatolio
anca
ancella
anchise
ancilla
ancillo
anco
ancomarzio
anda
andalusa
andaluso
andina
andino
ando
andra
andrea
andreana
andreano
andreatta
andreina
andreino
andreola
andreolo
andretta
andrettina
andreuccia
andreuccio
andrietta
andrietto
andro
andromaca
andronico
anella
anellina
anellino
anelusco
angela
angelamaria
angelantonio
angelarosa
angeletta
angelica
angelico
angelina
angelino
angelita
angelo
angelomaria
angilberto
angiola
angiolamaria
angioletta
angioletto
angiolina
angiolino
angiolo
aniceta
aniceto
anicetta
aniella
aniello
anita
anito
anna
annabella
annachiara
annaflavia
annagrazia
annalaura
annalia
annalisa
annaluisa
annamaria
annarella
annarita
annarosa
annella
annetta
annettina
annetto
annibala
annibale
annibalina
annico
annina
annino
annio
annita
annito
anno
annuccia
annuccio
annuncia
annunciata
annunciato
annuncio
annunzia
annunziata
annunziatina
annunziato
annunzio
anrico
ansalda
ansaldo
ansano
anselma
anselmina
anselmino
anselmo
ansovino
anspertina
ansperto
ansuina
ansuino
anta
antea
antenora
antenore
anteo
antera
anterino
anterio
antero
antigona
antigone
antigono
antima
antimina
antimino
antimo
antioca
antioco
anto
antonangelo
antonella
antonello
antonetta
antonetto
antonia
antoniano
antonica
antonico
antonietta
antonietto
antonilla
antonillo
antonina
antonino
antonio
antonita
antoniuccio
antonmaria
antuono
anzia
anzio
aonio
apollinare
apollo
apollonia
apollonio
apostolo
apparizio
appia
appiano
appio
appioclaudio
aprile
aprilia
aprilio
aquila
aquilante
aquilina
aquilino
aquilio
arabella
aralda
araldo
arames
aramis
arbace
arcadio
arcangela
arcangelina
arcangelo
arcangiolo
arceo
archelao
archibaldo
archimede
archita
arcibaldo
arcide
arcidio
arcido
arcisa
arcisio
arciso
arconte
arda
ardemaro
ardengo
ardingo
ardino
ardita
ardito
ardo
ardoino
ardolino
ardovino
arduilio
arduina
arduino
arduo
arealdo
arete
argante
argantina
arge
argea
argemiro
argenta
argentina
argentino
argento
argenzia
argeo
argia
argimiro
argio
argo
aria
arialda
arialdo
ariana
arianna
arianno
ariano
ariberto
ariela
ariele
ariella
ariello
arienzo
arietta
arietto
arimondo
arina
arino
ario
ariosta
ariosto
aris
aristarco
aristea
aristeo
aristide
aristidina
aristo
aristodema
aristodemo
aristotele
aristotile
arlesiana
arletta
armanda
armandina
armandino
armando
armanno
armano
armela
armelina
armelinda
armelindo
armella
armellina
armellino
armello
armena
armenia
armenio
armeno
armentina
armerina
armerino
armida
armidio
armido
armildo
armilla
armina
arminda
armindo
arminia
arminio
armino
armirio
armiro
armistizio
arnalda
arnaldina
arnaldo
arnolda
arnoldo
arnolfo
arolda
aroldo
aronne
aronte
arpalice
arriga
arrighetto
arrigo
arriguccio
arsenia
arsenio
arseno
arsilia
arsilio
artaserse
artemia
artemide
artemidio
artemino
artemio
artemisia
artemisio
artemo
artenia
artenice
artenio
arterio
artico
artide
artiero
artimina
artimino
artimio
artura
arturina
arturino
arturo
arzelio
arzenio
ascania
ascanio
ascensa
ascensina
ascenso
ascenza
ascenzina
ascenzio
ascenzo
asclepiade
asclepio
asdrubale
asia
asiago
asmara
asmarino
asmaro
asmerino
aspasia
aspasio
aspromonte
assalonne
assenzio
assuera
assuero
assunta
assuntina
assuntino
assunto
aster
asteria
asterino
asterio
astero
astolfo
astore
astorino
astorre
astra
astrea
astro
asvero
atala
atalia
atalo
atanasio
atea
atena
atene
ateno
ateo
athos
atos
attala
attalo
attanasio
attico
attila
attilia
attiliana
attiliano
attilio
atto
attone
audace
audenzia
audenzio
audisio
augusta
augustale
augustina
augustino
augusto
aulo
aura
aurea
aurelia
aureliana
aureliano
aurelio
aureo
auretta
aurino
auro
aurora
ausilia
ausilio
ausonia
ausonio
aussenzio
ava
avanti
ave
avelia
avelina
avelino
avelio
avellina
avellino
avendrace
aventina
aventino
averaldo
averardo
averina
averino
averio
aviero
avo
avventina
avventino
azaria
azeglia
azeglio
azelia
azelio
azelma
azia
azio
azolino
azzeglio
azzelino
azzella
azzello
azzio
azzo
azzolina
azzolino
azzurra
azzurrina
azzurrino
azzurro
babila
babilo
bacchisio
baccio
bachisia
bachisio
badoglio
baingia
baingio
balbina
balbino
balda
baldasarre
baldassare
baldassarre
balderico
baldina
baldino
baldo
baldoino
baldovina
baldovino
balduccio
balduina
balduino
balilla
bambina
bambino
bandinello
bandino
banduccio
barbara
barbarella
barbarina
barbarino
barbaro
barbato
barbera
barberina
barberino
bardilio
bardomiano
barnaba
barsanofio
barsanofrio
bartola
bartolina
bartolino
bartolo
bartolomea
bartolomeo
basile
basilea
basileo
basilia
basilio
basiliola
basilissa
basilla
bassanina
bassano
bassiano
basso
bastiana
bastianina
bastianino
bastiano
batista
battista
battistina
battistino
baudolina
baudolino
beata
beato
beatrice
belardina
belardino
belardo
belfiore
belisaria
belisario
bella
bellina
bellino
bellisario
bello
beltrame
beltrando
bene
benedetta
benedettina
benedetto
benedino
benetto
bengasina
bengasino
beniamina
beniamino
benigna
benigno
benilda
benilde
benildo
benina
benino
benita
benito
benizia
benizio
bennardino
bennardo
benno
beno
benozzo
bensa
benso
bentivoglio
benuccia
benuccio
benvenuta
benvenuto
bepi
beppa
beppe
beppi
beppina
beppino
berarda
berardina
berardino
berardo
berengaria
berengario
berenice
bernadetta
bernadette
bernadetto
bernarda
bernardetta
bernardina
bernardino
bernardo
berniero
bernino
berta
bertilla
bertillo
bertina
bertino
berto
bertoldo
bertrando
besso
betsabea
betta
bettina
bettino
betto
biagia
biagina
biagino
biagio
bianca
biancamaria
biancaneve
biancardo
biancarosa
bianchina
bianchino
bianco
biase
biasino
biasio
bibbiana
bibbiano
bibiana
bibiano
biblide
bice
bicetta
bigio
bina
bindo
bino
bionda
biondina
biondino
biondo
birgitta
bisio
bixio
bizio
blanda
blandina
blandino
blando
bluetta
boerio
bona
bonacata
bonacatta
bonacattu
bonacatu
bonaccorso
bonafede
bonaldo
bonando
bonanno
bonardo
bonaria
bonarina
bonarino
bonario
bonaventura
bonella
bonello
bonfiglio
bonfilio
bonifacio
bonifazio
bonina
bonino
bonito
bono
bonomo
bonuccia
bonuccio
bordino
boris
bortola
bortolina
bortolino
bortolo
bortolomea
bortolomeo
bovio
bovo
braccio
bramo
brandino
brandisio
brandizio
brando
brasile
brasilia
brasilina
brasilino
brasilio
brenna
brenno
breno
brigida
brigidina
brigido
brigitta
brillante
brillantina
brillantino
brizia
brizio
broccola
bruna
brunaldino
brunaldo
brunella
brunellesco
brunello
brunera
brunero
brunetta
brunetto
brunilde
brunildo
brunina
brunino
bruno
brunone
brunoro
bruto
buonafede
buonaventura
buonfiglio
buono
buovo
cabiria
cabirio
cadira
cadmo
cadore
cadorino
cadorna
cadornino
cadorno
caffieri
caffiero
cafiera
cafiero
caio
cairoli
calcedonia
calcedonio
calfiero
calimero
calista
calisto
callimaco
calliope
callista
callisto
calogera
calogero
calvina
calvino
calvio
calvo
camelia
camilla
camillo
cammillo
canciano
candelora
candeloro
candida
candido
canio
canuto
canziano
canzio
caporetto
cara
cardenio
cardina
carducci
carduccio
carina
carino
cariscopo
carisio
carissima
carissimo
carla
carlalberto
carletta
carletto
carlina
carlino
carlo
carlotta
carlottina
carluccia
carluccio
carmela
carmelina
carmelinda
carmelindo
carmelino
carmelio
carmelita
carmelito
carmelo
carmen
carmenio
carmina
carmine
carminella
carminio
carmino
carminuccio
carmosina
caro
carola
carolina
carolino
carolo
carso
cartesio
caruso
casilde
casimira
casimiro
casimirro
cassandra
cassia
cassiana
cassiano
cassio
casta
castenze
castenzio
casto
castolo
castore
castorina
castorino
castrense
castrenza
castrenze
castrenzio
castrenzo
castrese
castruccio
catalda
cataldina
cataldino
cataldo
catalina
catarina
catella
catello
catena
cateno
caterina
caterino
catia
catiello
catina
catino
catone
cattalino
catterina
catterino
catulla
catullo
cavallotti
cavour
ceccardo
cecchina
cecchino
cecco
cecilia
cecilio
celerina
celerino
celesta
celeste
celestina
celestino
celesto
celia
celidonia
celidonio
celina
celinia
celino
celio
cellina
cellino
celsa
celsina
celsino
celsio
celso
cenerina
cenerino
censina
censino
censo
cenza
cenzella
cenzina
cenzino
cenzo
cesara
cesare
cesarea
cesareo
cesaria
cesarina
cesarino
cesario
cesarita
cesco
cesella
cesello
cesidia
cesidio
cesina
cesino
cesio
cesira
cesirio
cesiro
cetteo
cettina
chantal
checchino
checco
cherubina
cherubino
chiaffreda
chiaffredo
chiara
chiarastella
chiarella
chiarello
chiaretta
chiarina
chiarino
chiaro
chicca
chicco
chino
chirico
christian
ciana
ciano
ciardino
ciardo
ciccillo
ciccio
cicerone
cicita
cicito
ciliberto
cina
cincinnato
cino
cinzia
cinzio
cinzo
cipriana
cipriano
cira
cirano
cirene
cireneo
cireno
ciretta
ciriaca
ciriaco
cirilla
cirillo
cirina
cirino
cirio
ciro
cisa
cisella
ciso
cita
cito
civita
clara
clarenza
clarenzia
clarenzio
claretta
clarice
clario
clarissa
clarita
claro
clauco
claudia
claudiana
claudiano
claudina
claudino
claudio
clea
cleante
cleanto
clearco
clelia
clelio
cleme
clemen
clemens
clementa
clemente
clementina
clementino
clemenza
clemenzia
clemenzio
cleo
cleofe
cleofina
cleofino
cleonice
cleonilde
cleonte
cleontina
cleontino
cleopatra
cleope
cleria
clerice
clerio
clero
cleta
cleto
clia
cliceria
clicerio
climene
clino
clio
clita
clito
clizia
clizio
clodia
clodomira
clodomiro
clodovea
clodoveo
cloe
clora
clori
cloridano
cloride
clorinda
clorindo
clotilde
clotildo
coclite
cola
coletta
coletto
collatino
colomba
colombano
colombina
colombino
colombo
coltura
colturo
comasia
comasio
comincio
comita
comito
como
comodo
comunarda
comunardo
cona
concepita
concessa
concessina
concesso
concetta
concettina
concettino
concetto
concezia
concezio
concezione
conchita
concita
concordia
concordio
conetta
conforta
conforto
confucio
conina
conino
conitto
cono
conone
consalva
consalvo
consiglia
consiglio
consilia
consilio
consola
consolata
consolato
consolazione
consolina
consolino
consolo
consuela
consuelo
contaldo
contarda
contardina
contardino
contardo
contrano
conuccio
cora
coraggio
coralla
corallina
corallino
corallo
cordelia
cordelio
corebo
corilla
corina
corinda
corindo
corinna
corinno
corino
corinta
corintio
corinto
corinzio
coriolano
cornelia
cornelio
corona
coronata
coronato
corrada
corradina
corradino
corrado
corsina
corsino
corso
cortese
cortesia
cortesina
cortina
cortino
cosetta
cosima
cosimina
cosimino
cosimo
cosma
cosmano
cosmina
cosmino
cosmo
costabile
costante
costantina
costantino
costanza
costanzo
creonte
crescente
crescentina
crescentino
crescenza
crescenzia
crescenziano
crescenzio
crescenzo
creso
crespino
creusa
crisante
crisanto
criseide
crisostomo
crispina
crispino
crispoldo
crispolto
crista
cristano
cristanziano
cristian
cristiana
cristiano
cristina
cristino
cristo
cristofalo
cristofano
cristofaro
cristofero
cristofolo
cristofora
cristoforo
croce
crocefissa
crocefisso
crocetta
